step_time,reward,total_stopped,total_wait_time
5.0,,0,0.0
10.0,0.0,0,0.0
15.0,0.0,6,9.0
20.0,-0.09,8,46.0
25.0,-0.37,9,88.0
30.0,-0.42,10,136.0
35.0,-0.4800000000000001,8,142.0
40.0,-0.2699999999999998,10,189.0
45.0,-0.6600000000000001,10,239.0
50.0,-0.6600000000000001,5,164.0
55.0,0.5900000000000001,10,202.0
60.0,-0.6799999999999999,12,262.0
65.0,-0.6799999999999999,7,120.0
70.0,1.18,10,157.0
75.0,-0.5700000000000001,10,148.0
80.0,0.42999999999999994,6,140.0
85.0,0.42999999999999994,6,160.0
90.0,-0.3799999999999999,16,234.0
95.0,-0.78,16,314.0
100.0,-0.7999999999999998,18,400.0
105.0,-0.8799999999999999,14,413.0
110.0,0.17999999999999972,12,424.0
115.0,0.17999999999999972,14,477.0
120.0,-0.7699999999999996,10,420.0
125.0,1.5699999999999994,8,284.0
130.0,0.5100000000000002,7,276.0
135.0,0.5100000000000002,12,328.0
140.0,-0.73,12,306.0
145.0,1.0,9,260.0
150.0,1.0,8,224.0
155.0,0.17999999999999972,8,252.0
160.0,-0.5,15,269.0
165.0,0.07000000000000028,10,277.0
170.0,0.07000000000000028,7,235.0
175.0,0.25,10,262.0
180.0,-0.30000000000000027,8,293.0
185.0,-0.45999999999999996,10,338.0
190.0,-0.45999999999999996,7,292.0
195.0,0.26000000000000023,7,309.0
200.0,-0.33000000000000007,9,333.0
205.0,-0.3900000000000001,8,372.0
210.0,-0.3900000000000001,6,359.0
215.0,-0.009999999999999787,6,382.0
220.0,-0.3500000000000001,7,413.0
225.0,-0.3500000000000001,4,39.0
230.0,3.61,6,61.0
235.0,-0.21999999999999997,6,58.0
240.0,0.18,6,61.0
245.0,-0.5900000000000001,12,114.0
250.0,-0.5900000000000001,8,129.0
255.0,-0.3500000000000001,12,175.0
260.0,-0.7399999999999998,13,236.0
265.0,-0.7399999999999998,8,183.0
270.0,0.2799999999999998,12,218.0
275.0,-0.3500000000000001,7,188.0
280.0,0.9900000000000002,8,91.0
285.0,0.41999999999999993,6,83.0
290.0,0.41999999999999993,6,64.0
295.0,0.18000000000000005,6,62.0
300.0,-0.14,7,86.0
305.0,-0.14,8,55.0
310.0,0.17999999999999994,8,79.0
315.0,-0.42999999999999994,14,137.0
320.0,-0.6699999999999999,12,171.0
325.0,-0.3700000000000001,12,214.0
330.0,-0.6000000000000001,12,274.0
335.0,-0.6000000000000001,10,209.0
340.0,0.43000000000000016,14,266.0
345.0,-0.9700000000000002,18,352.0
350.0,-0.9700000000000002,16,405.0
355.0,-0.8899999999999997,14,455.0
360.0,-0.6900000000000004,15,517.0
365.0,-0.7400000000000002,16,596.0
370.0,-1.1599999999999993,18,682.0
375.0,-0.9500000000000002,23,782.0
380.0,-1.2200000000000006,26,907.0
385.0,-1.2200000000000006,23,1001.0
390.0,-1.4299999999999997,25,1123.0
395.0,-1.2599999999999998,23,1204.0
400.0,-0.9199999999999999,23,1287.0
405.0,-0.9199999999999999,27,1415.0
410.0,-1.7300000000000004,30,1555.0
415.0,-1.4000000000000004,31,1710.0
420.0,-1.5500000000000007,33,1868.0
425.0,-1.5799999999999983,35,2043.0
430.0,-1.75,36,2220.0
435.0,-1.7699999999999996,39,2411.0
440.0,-1.9100000000000001,41,2610.0
445.0,-1.990000000000002,43,2819.0
450.0,-2.09,41,2932.0
455.0,-1.0700000000000003,36,3034.0
460.0,-2.599999999999998,42,3228.0
465.0,-2.259999999999998,47,3459.0
470.0,-2.460000000000001,51,3709.0
475.0,-2.5500000000000043,51,3964.0
480.0,-2.5799999999999983,53,4224.0
485.0,-2.6499999999999986,53,4489.0
490.0,-2.6499999999999986,45,4498.0
495.0,-1.0499999999999972,38,4312.0
500.0,4.93,34,3751.0
505.0,5.469999999999999,31,3397.0
510.0,5.469999999999999,16,3313.0
515.0,1.8799999999999955,14,3242.0
520.0,0.37000000000000455,25,3265.0
525.0,-0.30000000000000426,27,3333.0
530.0,-0.30000000000000426,32,3457.0
535.0,-1.8499999999999943,40,3646.0
540.0,-1.9500000000000028,43,3849.0
545.0,-2.0700000000000003,44,4069.0
550.0,-2.200000000000003,44,4289.0
555.0,-2.210000000000001,48,4525.0
560.0,-2.3899999999999935,46,4658.0
565.0,-1.2700000000000031,38,4777.0
570.0,-1.2700000000000031,32,4083.0
575.0,6.170000000000002,26,4147.0
580.0,-0.44000000000000483,18,3773.0
585.0,6.8600000000000065,11,3452.0
590.0,6.8600000000000065,9,3396.0
595.0,0.5399999999999991,18,3407.0
600.0,-0.3500000000000014,21,3096.0
605.0,6.459999999999997,20,2459.0
610.0,6.020000000000003,17,2044.0
615.0,6.020000000000003,13,2070.0
620.0,1.0399999999999991,16,2140.0
625.0,-0.6999999999999993,19,1906.0
630.0,5.0,18,1693.0
635.0,-1.3000000000000007,19,1789.0
640.0,-1.3000000000000007,15,1305.0
645.0,4.51,9,1255.0
650.0,1.4499999999999993,11,1153.0
655.0,0.16999999999999993,19,1194.0
660.0,-1.0199999999999996,27,1311.0
665.0,-1.4299999999999997,34,1470.0
670.0,-1.4299999999999997,26,1057.0
675.0,3.4499999999999993,19,840.0
680.0,2.17,9,843.0
685.0,0.2400000000000002,12,663.0
690.0,1.4100000000000001,21,696.0
695.0,-1.17,26,818.0
700.0,-1.17,32,970.0
705.0,-2.0999999999999996,32,1130.0
