step_time,reward,total_stopped,total_wait_time
5.0,,0,0.0
10.0,0.0,0,0.0
15.0,0.0,0,0.0
20.0,0.0,1,2.0
25.0,-0.06,1,7.0
30.0,-0.08000000000000002,2,16.0
35.0,-0.08000000000000002,3,25.0
40.0,-0.04999999999999999,4,45.0
45.0,-0.09999999999999998,5,69.0
50.0,-0.15000000000000002,5,94.0
55.0,-0.15000000000000002,3,37.0
60.0,0.2,4,51.0
65.0,-0.10000000000000003,4,71.0
70.0,-0.10999999999999999,7,105.0
75.0,-0.33,6,108.0
80.0,-0.33,7,113.0
85.0,-0.13,4,47.0
90.0,0.81,4,71.0
95.0,0.81,5,92.0
100.0,-0.07999999999999999,4,72.0
105.0,-0.10000000000000003,4,46.0
110.0,0.13000000000000003,4,68.0
115.0,-0.09,6,92.0
120.0,-0.09,10,135.0
125.0,-0.29000000000000004,11,188.0
130.0,-0.35,12,245.0
135.0,-0.35,14,310.0
140.0,-0.4,8,209.0
145.0,-0.09000000000000008,7,174.0
150.0,-0.32999999999999985,12,219.0
155.0,-0.4800000000000002,11,251.0
160.0,-0.81,13,316.0
165.0,-0.81,14,376.0
170.0,-0.73,14,443.0
175.0,-0.77,14,515.0
180.0,-0.77,14,585.0
185.0,-0.79,5,343.0
190.0,4.12,3,86.0
195.0,0.9299999999999999,8,83.0
200.0,-0.18999999999999997,8,117.0
205.0,-0.18999999999999997,12,147.0
210.0,-0.07,6,102.0
215.0,0.25,6,132.0
220.0,0.25,7,166.0
225.0,-0.15000000000000002,6,123.0
230.0,0.34,6,154.0
235.0,-0.06999999999999999,7,185.0
240.0,-0.06999999999999999,5,84.0
245.0,-0.07,7,79.0
250.0,-0.09000000000000002,4,80.0
255.0,-0.06,5,84.0
260.0,-0.10999999999999999,6,112.0
265.0,-0.10999999999999999,3,62.0
270.0,0.35,4,71.0
275.0,-0.01999999999999999,8,107.0
280.0,-0.28,6,57.0
285.0,-0.28,6,74.0
290.0,-0.14,4,85.0
295.0,-0.22999999999999998,4,101.0
300.0,-0.22999999999999998,3,57.0
305.0,0.46,4,42.0
310.0,-0.2,4,29.0
315.0,0.19,6,48.0
320.0,-0.18,6,75.0
325.0,-0.18,3,58.0
330.0,0.25,1,7.0
335.0,0.23,3,17.0
340.0,0.23,3,30.0
345.0,0.0,3,43.0
350.0,0.02,3,37.0
355.0,0.0,4,55.0
360.0,0.0,7,84.0
365.0,-0.07,7,119.0
370.0,-0.13999999999999999,5,115.0
375.0,-0.13999999999999999,5,63.0
380.0,-0.13999999999999999,3,56.0
385.0,-0.18000000000000005,5,77.0
390.0,-0.08999999999999997,4,83.0
395.0,-0.18000000000000005,8,123.0
400.0,-0.33999999999999986,6,64.0
405.0,0.8499999999999999,6,88.0
410.0,0.8499999999999999,4,81.0
415.0,0.18999999999999997,5,91.0
420.0,0.060000000000000005,6,108.0
425.0,-0.1,4,129.0
430.0,-0.01999999999999999,3,62.0
435.0,-0.01999999999999999,2,65.0
440.0,-0.09,5,81.0
445.0,-0.04999999999999999,7,80.0
450.0,0.25,8,107.0
455.0,-0.05,7,82.0
460.0,-0.04000000000000001,2,37.0
465.0,-0.09999999999999998,5,62.0
470.0,-0.2,4,48.0
475.0,-0.2,6,77.0
480.0,-0.32,4,62.0
485.0,0.12,7,96.0
490.0,0.12,8,113.0
495.0,-0.45000000000000007,8,142.0
500.0,-0.44999999999999996,9,142.0
505.0,0.3800000000000001,5,111.0
510.0,0.3699999999999999,7,99.0
515.0,0.3699999999999999,4,20.0
520.0,0.7100000000000001,3,39.0
525.0,0.06,6,42.0
530.0,0.06,8,77.0
535.0,-0.06999999999999999,9,112.0
540.0,-0.06,8,114.0
545.0,-0.13000000000000003,8,107.0
550.0,-0.12,7,117.0
555.0,-0.12,9,143.0
560.0,-0.20999999999999996,8,143.0
565.0,0.09999999999999998,8,183.0
570.0,0.09999999999999998,7,158.0
575.0,0.51,9,191.0
580.0,-0.09,11,241.0
585.0,-0.30000000000000004,11,157.0
590.0,-0.30000000000000004,10,163.0
595.0,-0.43999999999999995,8,156.0
600.0,0.32999999999999996,9,196.0
605.0,-0.14,8,168.0
610.0,-0.14,8,108.0
615.0,0.42000000000000004,9,152.0
620.0,-0.13999999999999999,12,189.0
625.0,-0.25,10,222.0
630.0,-0.32000000000000006,11,275.0
635.0,-0.32000000000000006,11,262.0
640.0,0.3500000000000001,12,313.0
645.0,-0.17000000000000004,11,363.0
650.0,-0.15000000000000002,12,421.0
655.0,-0.18000000000000005,8,230.0
660.0,-0.27,11,265.0
665.0,-0.27,6,97.0
670.0,0.9300000000000002,6,75.0
675.0,-0.26000000000000006,8,69.0
680.0,0.2700000000000001,4,51.0
685.0,-0.09000000000000002,5,69.0
690.0,-0.09000000000000002,2,27.0
695.0,0.46,3,33.0
700.0,-0.1,3,48.0
705.0,-0.1,4,56.0
710.0,-0.03,6,87.0
715.0,-0.17,7,121.0
720.0,-0.24999999999999994,11,163.0
725.0,-0.26,12,168.0
730.0,-0.050000000000000044,12,228.0
735.0,-0.050000000000000044,9,191.0
740.0,-0.35,9,222.0
745.0,-0.3700000000000001,11,271.0
750.0,-0.32999999999999985,13,331.0
755.0,-0.32999999999999985,14,382.0
760.0,-0.40000000000000013,15,449.0
765.0,-0.45999999999999996,14,515.0
770.0,-0.54,14,562.0
775.0,-0.5099999999999998,16,638.0
780.0,-0.5099999999999998,15,694.0
785.0,-0.52,15,766.0
790.0,-0.5899999999999999,17,845.0
795.0,-0.5899999999999999,17,925.0
800.0,-0.6000000000000005,10,644.0
