step_time,reward,total_stopped,total_wait_time
5.0,,0,0.0
10.0,0.0,0,0.0
15.0,0.0,0,0.0
20.0,0.0,1,4.0
25.0,0.0,2,13.0
30.0,0.0,5,33.0
35.0,-0.03,4,49.0
40.0,-0.07,5,70.0
45.0,-0.07,4,77.0
50.0,0.1,4,98.0
55.0,-0.04,7,129.0
60.0,-0.1,9,172.0
65.0,-0.1,6,122.0
70.0,-0.14,1,71.0
75.0,0.25,4,73.0
80.0,-0.06,7,101.0
85.0,-0.06,6,94.0
90.0,-0.13,8,127.0
95.0,-0.15,11,175.0
100.0,-0.24,9,206.0
105.0,-0.050000000000000044,10,235.0
110.0,-0.050000000000000044,8,213.0
115.0,0.16000000000000003,8,253.0
120.0,-0.19999999999999996,8,220.0
125.0,0.1499999999999999,10,246.0
130.0,0.32000000000000006,9,267.0
135.0,0.32000000000000006,6,242.0
140.0,-0.06999999999999998,6,254.0
145.0,0.24,10,279.0
150.0,0.24,11,217.0
155.0,-0.25,6,154.0
160.0,0.06,6,161.0
165.0,0.23,7,184.0
170.0,-0.05,6,149.0
175.0,-0.05,7,150.0
180.0,-0.09,5,33.0
185.0,-0.04999999999999999,4,45.0
190.0,-0.04999999999999999,2,20.0
195.0,0.21,3,33.0
200.0,-0.03,3,27.0
205.0,-0.07,1,15.0
210.0,-0.09,4,34.0
215.0,-0.08000000000000002,5,37.0
220.0,0.13,6,63.0
225.0,0.13,5,73.0
230.0,0.14,3,62.0
235.0,-0.06,5,64.0
240.0,-0.06,5,85.0
245.0,-0.07,3,84.0
250.0,0.13,2,83.0
255.0,-0.02,2,95.0
260.0,-0.02,3,109.0
265.0,-0.05,5,127.0
270.0,-0.10999999999999999,6,153.0
275.0,-0.10999999999999999,4,109.0
280.0,-0.14,2,44.0
285.0,-0.15999999999999998,3,55.0
290.0,-0.19000000000000006,5,76.0
295.0,-0.19000000000000006,7,110.0
300.0,-0.39,3,40.0
305.0,0.92,3,49.0
310.0,0.92,2,39.0
315.0,-0.06999999999999998,5,55.0
320.0,-0.1,3,39.0
325.0,0.21,3,54.0
330.0,-0.07999999999999999,6,76.0
335.0,-0.07999999999999999,6,103.0
340.0,-0.21000000000000002,6,133.0
345.0,-0.15000000000000002,4,69.0
350.0,0.42000000000000004,4,76.0
355.0,0.42000000000000004,5,100.0
360.0,-0.14,6,124.0
365.0,-0.14,6,154.0
370.0,-0.15000000000000002,6,130.0
375.0,-0.15000000000000002,4,51.0
380.0,0.5,7,84.0
385.0,-0.12000000000000001,7,103.0
390.0,-0.12000000000000001,6,78.0
395.0,0.0,7,111.0
400.0,-0.17999999999999997,6,113.0
405.0,0.14999999999999997,10,152.0
410.0,0.14999999999999997,8,171.0
415.0,-0.13,7,193.0
420.0,-0.07999999999999996,9,230.0
425.0,-0.07999999999999996,10,266.0
430.0,-0.16999999999999998,10,308.0
435.0,-0.16000000000000003,9,348.0
440.0,-0.28,10,381.0
445.0,-0.28,10,431.0
450.0,-0.28,10,481.0
455.0,-0.28,11,536.0
460.0,-0.28,14,598.0
465.0,-0.34999999999999987,13,639.0
470.0,-0.49,11,518.0
475.0,2.11,7,507.0
480.0,0.2,8,518.0
485.0,0.2,9,561.0
490.0,-0.2,12,615.0
495.0,-0.31,15,679.0
500.0,-0.31,10,713.0
505.0,-0.19999999999999996,11,758.0
510.0,-0.28000000000000014,12,814.0
515.0,-0.2899999999999998,13,876.0
520.0,-0.2899999999999998,12,930.0
525.0,-0.3500000000000001,14,997.0
530.0,-0.28,12,1027.0
535.0,-0.2999999999999998,12,1087.0
540.0,-0.4200000000000004,13,1150.0
545.0,-0.34999999999999964,13,1215.0
550.0,-0.34999999999999964,14,1280.0
555.0,-0.5,10,1192.0
560.0,2.5599999999999996,9,1043.0
565.0,0.79,7,662.0
570.0,-0.14,3,641.0
575.0,0.23,6,724.0
580.0,0.23,7,824.0
585.0,0.13,8,856.0
590.0,-0.02,3,489.0
595.0,-0.060000000000000005,3,502.0
600.0,-0.060000000000000005,7,530.0
605.0,-0.10999999999999999,8,562.0
610.0,-0.09,6,559.0
615.0,-0.18,8,595.0
620.0,-0.15000000000000002,6,456.0
625.0,-0.15000000000000002,5,193.0
630.0,-0.030000000000000027,4,58.0
635.0,0.26,6,70.0
640.0,0.26,6,33.0
645.0,0.12,6,63.0
650.0,-0.33999999999999997,8,97.0
655.0,-0.5000000000000001,11,144.0
660.0,-0.5000000000000001,12,201.0
665.0,-0.5899999999999999,5,138.0
670.0,1.3399999999999999,3,94.0
675.0,1.3399999999999999,7,124.0
680.0,-0.18000000000000005,5,90.0
685.0,0.06000000000000005,6,70.0
690.0,-0.19999999999999996,7,103.0
695.0,-0.25,8,140.0
700.0,-0.29000000000000004,8,161.0
705.0,-0.24,10,205.0
710.0,-0.24,10,202.0
715.0,-0.5599999999999998,11,247.0
720.0,-0.5800000000000001,14,311.0
725.0,-0.5800000000000001,12,349.0
730.0,-0.6300000000000003,12,396.0
735.0,-0.45999999999999996,10,417.0
740.0,-0.1299999999999999,7,248.0
745.0,2.3200000000000003,2,187.0
750.0,0.9400000000000001,3,95.0
755.0,0.9400000000000001,7,118.0
760.0,-0.22000000000000008,7,68.0
765.0,0.26,9,100.0
770.0,0.26,8,77.0
775.0,0.35000000000000003,9,97.0
780.0,-0.2,9,119.0
785.0,-0.18000000000000005,10,166.0
