step_time,reward,total_stopped,total_wait_time
5.0,,0,0.0
10.0,0.0,0,0.0
15.0,0.0,2,6.0
20.0,-0.16,8,35.0
25.0,-0.36,8,60.0
30.0,-0.36,10,105.0
35.0,-0.6299999999999999,7,116.0
40.0,0.07999999999999985,10,127.0
45.0,-0.5,12,181.0
50.0,-0.5,8,164.0
55.0,-0.06999999999999984,14,220.0
60.0,-0.8400000000000001,15,280.0
65.0,-0.7200000000000002,14,334.0
70.0,-0.7200000000000002,10,342.0
75.0,-0.31999999999999984,12,394.0
80.0,-0.5399999999999996,12,454.0
85.0,-0.8600000000000003,14,520.0
90.0,-0.8100000000000005,18,609.0
95.0,-0.9099999999999993,20,703.0
100.0,-1.0300000000000002,22,811.0
